name,state,country,latitude,longitude,population
Niagara Falls,,,43.1001067,-79.113966,50000
Târgu Mureș,,,46.5446304,24.5612187,50000
St. Catharines,,,43.1654193,-79.2391709,50000
Bonn,,Germany,50.7358511,7.1006599,50000
Havana,,Cuba,23.1379911,-82.3658562,50000
Urmia,,,37.5492733,45.0683625,50000
Roodepoort,,,-26.1563889,27.8858333,50000
Gdańsk,,,54.3482259,18.6542888,50000
Gdynia,,,54.5164982,18.5402738,50000
Germiston,,,-26.2294444,28.1805556,50000
Boksburg,,,-26.2125,28.2625,50000
Bandar Abbas,,,27.1781213,56.2766447,50000
Kahnuj,,"Iran, Islamic Republic of",27.9502255,57.7025775,50000
Adana,,,36.9970414,35.3267707,50000
Hakkâri,,,37.574898,43.73766,50000
Van,,,38.4992518,43.3966821,50000
Iğdır,,,39.9215462,44.0467885,50000
Antakya,,,36.2019598,36.1620594,50000
Kahramanmaraş,,,37.582603,36.9264707,50000
Mersin,,,36.81275,34.630542,50000
Osmaniye,,,37.073671,36.255941,50000
Aksaray,,,38.3704918,34.0293792,50000
Çankırı,,,40.59866,33.616701,50000
Karaman,,,37.1792447,33.2224781,50000
Kayseri,,,38.7253231,35.4836107,50000
Kırıkkale,,,39.847147,33.5169348,50000
Kırşehir,,,39.1460997,34.1606334,50000
Nevşehir,,,38.6223688,34.7136022,50000
Niğde,,,37.9712079,34.6775534,50000
Sivas,,,39.749781,37.013697,50000
Yozgat,,,39.8205571,34.8094917,50000
Amasya,,,40.6502007,35.8338214,50000
Artvin,,,41.1831962,41.8278892,50000
Bartın,,,41.6338394,32.3384354,50000
Bayburt,,,40.25569,40.224099,50000
Çorum,,,40.5491496,34.9602453,50000
Giresun,,,40.9148702,38.3879289,50000
Gümüşhane,,,40.4617844,39.4757339,50000
Karabük,,,41.1974459,32.6218583,50000
Kastamonu,,,41.377974,33.776791,50000
Ordu,,,40.980531,37.883907,50000
Rize,,,41.022809,40.519612,50000
Samsun,,,41.2893535,36.3258984,50000
Sinop,,,42.0266698,35.1506765,50000
Tokat,,,40.32648,36.55403,50000
Zonguldak,,,41.4523739,31.7884026,50000
Ağrı,,,39.7201318,43.0500388,50000
Ardahan,,,41.1102966,42.7035585,50000
Bingöl,,,38.8887541,40.4983659,50000
Bitlis,,,38.4002185,42.1081317,50000
Elazığ,,,38.676303,39.221849,50000
Muş,,,38.747307,41.504412,50000
Erzincan,,,39.7496052,39.4941023,50000
Erzurum,,,39.9082459,41.2758755,50000
Kars,,,40.6051586,43.0961703,50000
Malatya,,,38.350261,38.309269,50000
Tunceli,,Türkiye,39.1080631,39.548197,50000
Adıyaman,,Türkiye,37.7640008,38.2764355,50000
BATMAN,,Türkiye,37.8830001,41.1309008,50000
Diyarbakır,,Türkiye,37.9115543,40.2276235,50000
Gaziantep,,Türkiye,37.0598399,37.3796671,50000
Kilis,,Türkiye,36.718045,37.11688,50000
Mardin,,Türkiye,37.3208613,40.723429,50000
Urfa,,Türkiye,37.150396,38.7897745,50000
Siirt,,Türkiye,37.931282,41.93984,50000
Şırnak,,Türkiye,37.5188049,42.4600581,50000
Dallas,Texas,United States,32.7801052,-96.8000082,50000
Victory of Conquest,,,-14.8498325,-40.8380598,50000
Pinar del Rio,,Cuba,22.4217648,-83.6958475,50000
Stoke-on-Trent,England,United Kingdom,53.0162014,-2.1812607,50000
Almaty,,,43.2362314,76.9457599,50000
Szczecin,,,53.4302122,14.5509784,50000
Zielona Góra,,,51.9382922,15.5045677,50000
Kolding,,,55.4894999,9.47905,50000
Vejle,,,55.7000057,9.5333238,50000
Aarhus,,Denmark,56.1496278,10.2134046,50000
Odense,,,55.3997225,10.3852104,50000
Santander,,,43.4623102,-3.8101067,50000
Myitkyinā,,,25.3833313,97.3999925,50000
Taunggyi,,,20.783341,97.0333244,50000
Magwe,,,20.1491458,94.9213518,50000
Pyin Oo Lwin,,,22.0333331,96.466667,50000
Loikaw,,,19.674167,97.2094441,50000
Rangoon,,,16.8098796,96.1587125,50000
Nay Pyi Taw,,,19.75,96.1,50000
Thaton,,,16.920556,97.371389,50000
Pyay,,Myanmar,18.816667,95.216667,50000
Pathein,,,16.783333,94.733333,50000
Lashio,,,22.933333,97.75,50000
Dawei,,,14.083333,98.2,50000
Bago,,,17.336667,96.479722,50000
Myingyan,,,21.4587531,95.3924129,50000
Sittwe,,,20.15,92.9,50000
Taungoo,,,18.933333,96.433333,50000
Yenangyaung,,,20.466667,94.883333,50000
Mandalay,,,21.9812746,96.082375,50000
Monywa,,,22.116667,95.133333,50000
Meiktila,,,20.8814233,95.8619463,50000
Hinthada,,,17.6457898,95.4609724,50000
Mergui,,Burkina Faso,12.433333,98.6,50000
Trollhättan,,,58.2827931,12.2908612,50000
Zahedan,,,29.4928874,60.8503017,50000
Nowshahr,,,36.6505755,51.4915835,50000
Saskatoon,Saskatchewan,Canada,52.1303794,-106.6605124,50000
Santa Clara,,Cuba,22.4069559,-79.9652327,50000
Metz,,France,49.1196964,6.1763552,50000
Tours,Centre-Val de Loire,France,47.3900474,0.6889268,50000
Clermont-Ferrand,Auvergne-Rhône-Alpes,France,45.7774551,3.0819427,50000
Reims,Grand Est,France,49.2577886,4.031926,50000
Dijon,Bourgogne-Franche-Comté,France,47.3215806,5.0414701,50000
Orléans,Centre-Val de Loire,France,47.9027336,1.9086066,50000
Amiens,Hauts-de-France,France,49.8941708,2.2956951,50000
Toulouse,Occitanie,France,43.6044622,1.4442469,50000
Limoges,Nouvelle-Aquitaine,France,45.8354243,1.2644847,50000
Rennes,Bretagne,France,48.1113589,-1.680009,50000
Saint-Étienne,Auvergne-Rhône-Alpes,France,45.4401467,4.3873058,50000
Nantes,Pays de la Loire,France,47.2185155,-1.5545147,50000
Besançon,Bourgogne-Franche-Comté,France,47.237953,6.0243246,50000
Le Mans,Pays de la Loire,France,48.0077367,0.1995271,50000
Strasbourg,Grand Est,France,48.584614,7.7507127,50000
Mulhouse,Grand Est,France,47.7494188,7.3399355,50000
Angers,Pays de la Loire,France,47.4711708,-0.5517522,50000
Lille,Hauts-de-France,France,50.6305089,3.0706414,50000
Toulon,Provence-Alpes-Côte d'Azur,France,43.1257311,5.9304919,50000
Nîmes,Occitanie,France,43.8374249,4.3600687,50000
Rouen,Normandie,France,49.4404591,1.0939658,50000
Grenoble,Auvergne-Rhône-Alpes,France,45.182478,5.7210773,50000
Aix-en-Provence,Provence-Alpes-Côte d'Azur,France,43.5298424,5.4474738,50000
Roubaix,Hauts-de-France,France,50.6915893,3.1741734,50000
Poitiers,Nouvelle-Aquitaine,France,46.5802596,0.340196,50000
Tourcoing,Hauts-de-France,France,50.7217304,3.1593082,50000
Dunkirk,Hauts-de-France,France,51.0347708,2.3772525,50000
Pau,,France,43.2957547,-0.3685668,50000
Nancy,Grand Est,France,48.6928048,6.1838123,50000
Lancaster,England,United Kingdom,54.0484068,-2.7990345,50000
Newport,Cymru / Wales,United Kingdom,51.5882332,-2.9974967,50000
Kingston upon Hull,England,United Kingdom,53.7657076,-0.3370322,50000
Bradford,England,United Kingdom,53.7941567,-1.7494778,50000
Jelgava,,Latvia,56.6514394,23.7339143,50000
Riga,,,56.9493977,24.1051846,50000
Regina,,Canada,50.4480951,-104.6158181,50000
Oujda,,,34.6800173,-1.9203727,50000
Meknes,,,33.8850849,-5.5678716,50000
El Jadida,,,33.2429276,-8.4988272,50000
Eger,,,47.8989887,20.3743665,50000
Debrecen,,,47.531399,21.6259782,50000
Marseille,Provence-Alpes-Côte d'Azur,France,43.2961743,5.3699525,50000
Heilbronn,,,49.1422908,9.2186549,50000
Malmö,,,55.6052931,13.0001566,50000
